,RT,SERIALNO
318,H,2012000069720
319,H,2012000069898
320,H,2012000069970
321,H,2012000070379
322,H,2012000070666
323,H,2012000071197
324,H,2012000071583
325,H,2012000071689
326,H,2012000071898
327,H,2012000071936
328,H,2012000071945
329,H,2012000072116
330,H,2012000072248
331,H,2012000072526
332,H,2012000072552
333,H,2012000072575
334,H,2012000072682
335,H,2012000072726
336,H,2012000072869
337,H,2012000073054
338,H,2012000073233
339,H,2012000073704
340,H,2012000073774
341,H,2012000073797
342,H,2012000073854
343,H,2012000074105
344,H,2012000074314
345,H,2012000074339
346,H,2012000074517
347,H,2012000074699
348,H,2012000074779
349,H,2012000075034
350,H,2012000075622
351,H,2012000075791
352,H,2012000075862
353,H,2012000075984
354,H,2012000077160
355,H,2012000077214
356,H,2012000077243
357,H,2012000077445
358,H,2012000077511
359,H,2012000077940
360,H,2012000078131
361,H,2012000079068
362,H,2012000079154
363,H,2012000079377
364,H,2012000079592
365,H,2012000079632
366,H,2012000079758
367,H,2012000080002
368,H,2012000080156
369,H,2012000080515
370,H,2012000080934
371,H,2012000080977
372,H,2012000082432
373,H,2012000082577
374,H,2012000082795
375,H,2012000082809
376,H,2012000082899
377,H,2012000082984
378,H,2012000083148
379,H,2012000083217
380,H,2012000083368
381,H,2012000083402
382,H,2012000083953
383,H,2012000084114
384,H,2012000085128
385,H,2012000085143
386,H,2012000085232
387,H,2012000085289
388,H,2012000085340
389,H,2012000085433
390,H,2012000086161
391,H,2012000086292
392,H,2012000086313
393,H,2012000086664
394,H,2012000086668
395,H,2012000086820
396,H,2012000086864
397,H,2012000087085
398,H,2012000087316
399,H,2012000087549
400,H,2012000087558
401,H,2012000087603
402,H,2012000087730
403,H,2012000087884
404,H,2012000088261
405,H,2012000088457
406,H,2012000088677
407,H,2012000088817
408,H,2012000088852
409,H,2012000089010
410,H,2012000089464
411,H,2012000089746
412,H,2012000090678
413,H,2012000090738
414,H,2012000090913
415,H,2012000092306
416,H,2012000092307
417,H,2012000092423
418,H,2012000092434
419,H,2012000092582
420,H,2012000092789
421,H,2012000092922
422,H,2012000092927
423,H,2012000093041
424,H,2012000093175
425,H,2012000093332
426,H,2012000093518
427,H,2012000093934
428,H,2012000094007
429,H,2012000094121
430,H,2012000094139
431,H,2012000094265
432,H,2012000094459
433,H,2012000094473
434,H,2012000094531
435,H,2012000095054
436,H,2012000095111
437,H,2012000095541
438,H,2012000095782
439,H,2012000096045
440,H,2012000096093
441,H,2012000096150
442,H,2012000096386
443,H,2012000096501
444,H,2012000096526
445,H,2012000096645
446,H,2012000097202
447,H,2012000097361
448,H,2012000098169
449,H,2012000098698
450,H,2012000098914
451,H,2012000099180
452,H,2012000099216
453,H,2012000099369
454,H,2012000099467
455,H,2012000100153
456,H,2012000100175
457,H,2012000100286
458,H,2012000101058
459,H,2012000101128
460,H,2012000101170
461,H,2012000101550
462,H,2012000101557
463,H,2012000101585
464,H,2012000102517
465,H,2012000102642
466,H,2012000102717
467,H,2012000102760
468,H,2012000103231
469,H,2012000103316
470,H,2012000103718
471,H,2012000103748
472,H,2012000104023
473,H,2012000104244
474,H,2012000104537
475,H,2012000104722
476,H,2012000105190
477,H,2012000105267
478,H,2012000105398
479,H,2012000105786
480,H,2012000105872
481,H,2012000106131
482,H,2012000106618
483,H,2012000106680
484,H,2012000106754
485,H,2012000106902
486,H,2012000107106
487,H,2012000108073
488,H,2012000108087
489,H,2012000108156
490,H,2012000108354
491,H,2012000108450
492,H,2012000108894
493,H,2012000109350
494,H,2012000109554
495,H,2012000109578
496,H,2012000109966
497,H,2012000110149
498,H,2012000110271
499,H,2012000110473
500,H,2012000110587
501,H,2012000110921
502,H,2012000110951
503,H,2012000111044
504,H,2012000111236
505,H,2012000111803
506,H,2012000112192
507,H,2012000112605
508,H,2012000112714
509,H,2012000112908
510,H,2012000113547
511,H,2012000113570
512,H,2012000113796
513,H,2012000113885
514,H,2012000113978
515,H,2012000114060
516,H,2012000114064
517,H,2012000114583
518,H,2012000114822
519,H,2012000114836
520,H,2012000115271
521,H,2012000115647
522,H,2012000115822
523,H,2012000115905
524,H,2012000116326
525,H,2012000116443
526,H,2012000116563
527,H,2012000116640
528,H,2012000116762
529,H,2012000117232
530,H,2012000117245
531,H,2012000117248
532,H,2012000117424
533,H,2012000117490
534,H,2012000117776
535,H,2012000117800
536,H,2012000118066
537,H,2012000118156
538,H,2012000118243
539,H,2012000118385
540,H,2012000118434
541,H,2012000118444
542,H,2012000119114
543,H,2012000119204
544,H,2012000119654
545,H,2012000119735
546,H,2012000119887
547,H,2012000119964
548,H,2012000120022
549,H,2012000120114
550,H,2012000120330
551,H,2012000120547
552,H,2012000120704
553,H,2012000120772
554,H,2012000121181
555,H,2012000121330
556,H,2012000121335
557,H,2012000121397
558,H,2012000121469
559,H,2012000121655
560,H,2012000121674
561,H,2012000121688
562,H,2012000121774
563,H,2012000121850
564,H,2012000122041
565,H,2012000122077
566,H,2012000122286
567,H,2012000122584
568,H,2012000122697
569,H,2012000122980
570,H,2012000123232
571,H,2012000123739
572,H,2012000123759
573,H,2012000123760
574,H,2012000124011
575,H,2012000124035
576,H,2012000124303
577,H,2012000124383
578,H,2012000124762
579,H,2012000124846
580,H,2012000124869
581,H,2012000125033
582,H,2012000125034
583,H,2012000125079
584,H,2012000125243
585,H,2012000125268
586,H,2012000125331
587,H,2012000125598
588,H,2012000125609
589,H,2012000125750
590,H,2012000125857
591,H,2012000126022
592,H,2012000126139
593,H,2012000126699
594,H,2012000127182
595,H,2012000127607
596,H,2012000127630
597,H,2012000127640
598,H,2012000127953
599,H,2012000128154
600,H,2012000128235
601,H,2012000128490
602,H,2012000128503
603,H,2012000128790
604,H,2012000128934
605,H,2012000128957
606,H,2012000129220
607,H,2012000129241
608,H,2012000129513
609,H,2012000129532
610,H,2012000129555
611,H,2012000129605
612,H,2012000130460
613,H,2012000130524
614,H,2012000130586
615,H,2012000130977
616,H,2012000130988
617,H,2012000131014
618,H,2012000131638
619,H,2012000131707
