,RT,SERIALNO
318,P,2012000032346
319,P,2012000032430
320,P,2012000032430
321,P,2012000032430
322,P,2012000032528
323,P,2012000033010
324,P,2012000033010
325,P,2012000033010
326,P,2012000033010
327,P,2012000033163
328,P,2012000033163
329,P,2012000033163
330,P,2012000033163
331,P,2012000033163
332,P,2012000033186
333,P,2012000033186
334,P,2012000033186
335,P,2012000033186
336,P,2012000033571
337,P,2012000033571
338,P,2012000033730
339,P,2012000033730
340,P,2012000033784
341,P,2012000033784
342,P,2012000033784
343,P,2012000033862
344,P,2012000033862
345,P,2012000033862
346,P,2012000033862
347,P,2012000033862
348,P,2012000034143
349,P,2012000034143
350,P,2012000034143
351,P,2012000034155
352,P,2012000034255
353,P,2012000034255
354,P,2012000034255
355,P,2012000034255
356,P,2012000034255
357,P,2012000034466
358,P,2012000034732
359,P,2012000034825
360,P,2012000034825
361,P,2012000034899
362,P,2012000034899
363,P,2012000034899
364,P,2012000034899
365,P,2012000034899
366,P,2012000034899
367,P,2012000034899
368,P,2012000034899
369,P,2012000035480
370,P,2012000035480
371,P,2012000035584
372,P,2012000035613
373,P,2012000035613
374,P,2012000035873
375,P,2012000036040
376,P,2012000036040
377,P,2012000036376
378,P,2012000036376
379,P,2012000036568
380,P,2012000036568
381,P,2012000036568
382,P,2012000036616
383,P,2012000036705
384,P,2012000036805
385,P,2012000036805
386,P,2012000036805
387,P,2012000037092
388,P,2012000037092
389,P,2012000037120
390,P,2012000037597
391,P,2012000037597
392,P,2012000037597
393,P,2012000037597
394,P,2012000037840
395,P,2012000037840
396,P,2012000037840
397,P,2012000037840
398,P,2012000037840
399,P,2012000037840
400,P,2012000037840
401,P,2012000038015
402,P,2012000038015
403,P,2012000038015
404,P,2012000038015
405,P,2012000038015
406,P,2012000038015
407,P,2012000038015
408,P,2012000038143
409,P,2012000038143
410,P,2012000038195
411,P,2012000038195
412,P,2012000038290
413,P,2012000038290
414,P,2012000038290
415,P,2012000038352
416,P,2012000038352
417,P,2012000038653
418,P,2012000038653
419,P,2012000038653
420,P,2012000038653
421,P,2012000038923
422,P,2012000039425
423,P,2012000039425
424,P,2012000039844
425,P,2012000039844
426,P,2012000039948
427,P,2012000040033
428,P,2012000040033
429,P,2012000040082
430,P,2012000040439
431,P,2012000040576
432,P,2012000040576
433,P,2012000040650
434,P,2012000040828
435,P,2012000040828
436,P,2012000040871
437,P,2012000040951
438,P,2012000041228
439,P,2012000041228
440,P,2012000041228
441,P,2012000041228
442,P,2012000041228
443,P,2012000041241
444,P,2012000041241
445,P,2012000041803
446,P,2012000041803
447,P,2012000041803
448,P,2012000041803
449,P,2012000042509
450,P,2012000042509
451,P,2012000042509
452,P,2012000042509
453,P,2012000042509
454,P,2012000042509
455,P,2012000042521
456,P,2012000042521
457,P,2012000042644
458,P,2012000043106
