,ADJINC,PWGTP,AGEP,CIT,CITWP
243,1056030,23,89,1,
244,1056030,6,59,1,
245,1056030,7,61,1,
246,1056030,4,65,1,
247,1056030,3,63,1,
248,1056030,40,26,1,
249,1056030,42,32,1,
250,1056030,11,20,1,
251,1056030,7,22,3,
252,1056030,14,4,1,
253,1056030,15,2,1,
254,1056030,18,53,1,
255,1056030,12,50,1,
256,1056030,23,20,1,
257,1056030,20,46,1,
258,1056030,28,14,1,
259,1056030,64,56,1,
260,1056030,8,65,1,
261,1056030,11,59,1,
262,1056030,10,62,1,
263,1056030,10,84,1,
264,1056030,2,61,1,
265,1056030,1,59,1,
266,1056030,18,42,1,
267,1056030,18,39,1,
268,1056030,23,17,1,
269,1056030,19,15,1,
270,1056030,8,13,1,
271,1056030,18,11,1,
272,1056030,4,69,1,
273,1056030,4,68,1,
274,1056030,138,38,1,
275,1056030,146,38,1,
276,1056030,151,13,1,
277,1056030,132,10,1,
278,1056030,33,47,1,
279,1056030,5,30,1,
280,1056030,2,30,1,
281,1056030,2,6,1,
282,1056030,2,4,1,
283,1056030,1,1,1,
284,1056030,7,45,1,
285,1056030,9,40,1,
286,1056030,9,8,1,
287,1056030,6,29,1,
288,1056030,11,4,1,
289,1056030,15,84,1,
290,1056030,22,25,1,
291,1056030,35,0,1,
292,1056030,27,6,1,
293,1056030,19,4,1,
294,1056030,23,25,1,
295,1056030,8,45,1,
296,1056030,10,45,1,
297,1056030,2,36,1,
298,1056030,4,34,1,
299,1056030,2,14,1,
300,1056030,4,6,1,
301,1056030,46,18,1,
302,1056030,50,18,1,
303,1056030,13,68,1,
304,1056030,16,68,1,
305,1056030,20,51,1,
306,1056030,14,60,1,
307,1056030,15,58,1,
308,1056030,38,28,1,
309,1056030,9,53,4,2012.0
310,1056030,8,71,1,
311,1056030,22,32,4,2006.0
312,1056030,49,85,1,
313,1056030,2,72,1,
314,1056030,3,76,1,
315,1056030,3,27,1,
316,1056030,7,0,1,
317,1056030,5,7,1,
318,1056030,4,27,1,
319,1056030,23,61,1,
320,1056030,27,60,4,1958.0
321,1056030,36,25,1,
322,1056030,24,59,1,
323,1056030,20,49,1,
324,1056030,21,47,1,
325,1056030,22,14,1,
326,1056030,19,16,1,
327,1056030,7,42,1,
328,1056030,5,2,1,
329,1056030,3,1,1,
330,1056030,4,14,1,
331,1056030,3,48,1,
