,AGEP
798,26
799,0
800,25
801,25
802,5
803,1
804,50
805,50
806,19
807,70
808,93
809,79
810,77
811,70
812,63
813,18
814,58
815,59
816,58
817,59
818,32
819,27
820,4
821,42
822,18
823,23
824,28
825,27
826,21
827,55
828,57
829,55
830,55
831,28
832,21
833,16
834,56
835,54
836,32
837,32
838,52
839,48
840,82
841,48
842,28
843,79
844,80
845,76
846,76
847,42
848,42
849,42
850,19
851,30
852,34
853,1
854,0
855,68
856,67
857,39
858,39
859,15
860,13
861,11
862,8
863,5
864,39
865,8
866,39
867,15
868,12
869,8
870,70
871,70
872,46
873,14
874,13
875,61
876,38
877,33
878,11
879,7
880,3
881,63
882,59
883,81
884,49
885,23
886,43
887,46
888,24
889,22
890,75
891,73
892,55
893,89
894,70
895,65
896,16
897,40
898,22
899,66
900,32
901,32
902,12
903,8
904,6
905,5
906,4
907,2
908,0
909,72
910,70
911,28
912,29
913,46
914,66
915,65
916,51
917,48
918,21
919,17
920,29
921,47
922,47
923,56
924,58
925,51
926,53
927,58
928,68
929,63
930,35
931,34
932,14
933,11
934,8
935,6
936,1
937,64
938,64
939,64
940,63
941,42
942,43
943,16
944,11
945,8
946,49
947,44
948,11
949,8
950,69
951,62
952,44
953,39
954,20
955,14
956,13
957,24
958,4
959,53
960,50
961,18
962,81
963,41
964,33
965,35
966,12
967,8
968,77
969,80
970,23
971,35
972,32
973,11
974,9
975,6
976,3
977,29
978,2
979,38
980,60
981,60
982,69
983,56
984,57
985,60
986,58
987,46
988,41
989,18
990,14
991,39
992,22
993,19
994,0
995,93
996,76
997,44
998,48
999,22
1000,20
1001,21
1002,56
1003,41
1004,42
1005,43
1006,24
1007,27
1008,33
1009,31
1010,1
1011,64
1012,51
1013,63
1014,65
1015,69
1016,21
1017,18
1018,26
1019,16
1020,56
1021,55
1022,59
1023,61
1024,61
1025,62
1026,60
1027,56
1028,43
1029,51
1030,56
1031,54
1032,58
1033,88
1034,81
1035,59
1036,61
1037,16
1038,53
1039,52
1040,93
1041,43
1042,24
1043,56
1044,27
1045,64
1046,58
1047,48
1048,48
1049,13
1050,11
1051,54
1052,53
1053,54
1054,71
1055,72
1056,54
1057,51
1058,16
1059,54
1060,54
1061,60
1062,60
1063,39
1064,32
1065,44
1066,21
1067,30
1068,28
1069,3
1070,0
1071,73
1072,81
1073,36
1074,15
1075,6
1076,3
1077,62
1078,61
1079,56
1080,8
1081,63
1082,42
1083,28
1084,39
1085,2
1086,11
1087,36
1088,44
1089,36
1090,5
1091,12
1092,15
1093,62
1094,62
1095,74
1096,73
1097,39
1098,50
1099,49
1100,17
1101,17
1102,15
1103,11
1104,75
1105,44
1106,44
1107,18
1108,18
1109,66
1110,75
1111,72
1112,78
1113,62
1114,60
1115,65
1116,61
1117,57
1118,51
1119,41
1120,63
1121,28
1122,29
1123,20
1124,20
1125,20
1126,20
1127,20
1128,18
1129,23
1130,1
1131,1
1132,23
1133,54
1134,51
1135,33
1136,32
1137,31
1138,31
1139,5
1140,2
1141,1
1142,43
1143,41
1144,56
1145,63
1146,66
1147,45
1148,62
1149,61
1150,61
1151,18
1152,17
1153,38
1154,49
1155,49
1156,19
1157,33
1158,10
1159,59
1160,25
1161,20
1162,2
1163,1
1164,68
1165,75
1166,45
1167,18
1168,58
1169,48
1170,18
1171,54
1172,71
1173,64
1174,48
1175,48
1176,24
1177,21
1178,36
1179,34
1180,13
1181,67
1182,66
1183,79
1184,77
1185,32
1186,58
1187,81
1188,50
1189,82
1190,36
1191,33
1192,11
1193,5
1194,9
1195,70
1196,69
1197,65
1198,63
1199,79
1200,58
1201,32
1202,23
1203,11
1204,51
1205,52
1206,86
1207,57
1208,50
1209,47
1210,16
1211,23
1212,22
1213,58
1214,58
1215,84
1216,82
1217,17
1218,67
1219,61
1220,58
1221,60
1222,32
1223,28
1224,1
1225,23
1226,0
1227,23
1228,65
1229,64
1230,67
1231,84
1232,45
1233,25
1234,41
1235,51
1236,55
1237,59
1238,40
1239,33
1240,36
1241,31
1242,32
1243,7
1244,5
1245,2
1246,69
1247,52
1248,61
1249,61
1250,55
1251,51
1252,17
1253,84
1254,83
1255,55
1256,20
1257,42
1258,54
1259,53
1260,69
1261,62
1262,46
1263,64
1264,56
1265,81
1266,61
1267,50
1268,18
1269,71
1270,73
1271,79
1272,74
1273,21
1274,33
1275,44
1276,40
1277,13
1278,12
1279,10
1280,25
1281,24
1282,81
1283,78
1284,61
1285,62
1286,68
1287,59
1288,64
1289,75
1290,75
1291,73
1292,19
1293,53
1294,77
1295,77
1296,50
1297,55
1298,63
1299,59
1300,52
1301,57
1302,34
1303,11
1304,63
1305,68
1306,60
1307,54
1308,64
1309,35
1310,17
1311,11
1312,48
1313,51
1314,18
1315,60
1316,61
1317,25
1318,30
1319,4
1320,46
1321,47
1322,29
1323,36
1324,55
1325,52
1326,22
1327,18
1328,37
1329,40
1330,18
1331,10
1332,9
1333,50
1334,50
1335,18
1336,11
1337,46
1338,14
1339,11
1340,7
1341,61
1342,59
1343,71
1344,33
1345,37
1346,13
1347,12
1348,9
1349,0
1350,19
1351,57
1352,51
1353,15
1354,10
1355,40
1356,59
1357,41
1358,41
1359,6
1360,4
1361,43
1362,42
1363,55
1364,57
1365,26
1366,63
1367,80
1368,28
1369,18
1370,57
1371,23
1372,34
1373,36
1374,16
1375,11
1376,8
1377,5
1378,31
1379,33
1380,37
1381,12
1382,10
1383,1
1384,23
1385,64
1386,55
1387,54
1388,27
1389,25
1390,60
1391,57
1392,13
1393,24
1394,24
1395,77
1396,81
1397,56
1398,50
1399,14
1400,73
1401,73
1402,77
1403,68
1404,58
1405,54
1406,66
1407,61
1408,73
1409,38
1410,15
1411,15
1412,66
1413,62
1414,30
1415,31
1416,10
1417,1
1418,0
1419,41
1420,59
1421,50
1422,53
1423,48
1424,56
1425,52
1426,20
1427,17
1428,61
1429,77
1430,69
1431,36
1432,29
1433,58
1434,61
1435,60
1436,25
1437,22
1438,22
1439,39
1440,34
1441,6
1442,3
1443,0
1444,79
1445,51
1446,53
1447,65
1448,65
1449,46
1450,16
1451,46
1452,54
1453,19
1454,51
1455,49
1456,18
1457,48
1458,53
1459,17
1460,13
1461,9
1462,78
1463,78
1464,52
1465,48
1466,6
1467,24
1468,59
1469,58
1470,48
1471,21
1472,23
1473,2
1474,73
1475,70
1476,46
1477,47
1478,75
1479,72
1480,33
1481,31
1482,2
1483,62
1484,57
1485,34
1486,85
1487,12
1488,58
1489,64
1490,28
1491,33
1492,38
1493,17
1494,16
1495,30
1496,30
1497,0
1498,25
1499,57
1500,25
1501,60
1502,54
1503,50
1504,43
1505,15
1506,39
1507,35
1508,16
1509,12
1510,19
1511,75
1512,61
1513,37
1514,41
1515,20
1516,16
1517,14
1518,11
1519,9
1520,54
1521,36
1522,26
1523,14
1524,9
1525,9
1526,6
1527,40
1528,85
1529,52
1530,86
1531,24
1532,26
1533,3
1534,68
1535,25
1536,32
1537,52
1538,52
1539,26
1540,23
1541,21
1542,26
1543,19
1544,93
1545,48
1546,44
1547,16
1548,70
1549,58
1550,89
1551,82
1552,59
1553,25
1554,61
1555,25
1556,0
1557,39
1558,43
1559,48
1560,53
1561,31
1562,18
1563,53
1564,53
1565,32
1566,32
1567,9
1568,7
1569,6
1570,4
1571,1
1572,0
1573,38
1574,36
1575,16
1576,15
1577,48
1578,38
1579,9
1580,67
1581,72
1582,58
1583,73
1584,28
1585,26
1586,63
1587,60
1588,74
1589,64
1590,36
1591,44
1592,42
1593,22
1594,18
1595,93
1596,29
1597,28
1598,3
1599,2
1600,32
1601,36
1602,7
1603,5
1604,3
1605,37
1606,41
1607,19
1608,16
1609,13
1610,28
1611,28
1612,3
1613,0
1614,85
1615,49
1616,55
1617,23
1618,15
1619,30
1620,30
1621,0
1622,71
1623,64
1624,55
1625,53
1626,30
1627,25
1628,30
1629,78
1630,75
1631,67
1632,86
1633,86
1634,54
1635,45
1636,62
1637,28
1638,27
1639,81
1640,78
1641,86
1642,41
1643,37
1644,14
1645,13
1646,8
1647,6
1648,51
1649,89
1650,61
1651,44
1652,42
1653,42
1654,44
1655,3
1656,5
1657,72
1658,70
1659,82
1660,63
1661,46
1662,28
1663,26
1664,5
1665,4
1666,19
1667,53
1668,50
1669,28
1670,24
1671,19
1672,63
1673,73
1674,63
1675,64
1676,31
1677,42
1678,38
1679,9
1680,36
1681,54
1682,50
1683,25
1684,2
1685,76
1686,80
1687,52
1688,49
1689,75
