,AGEP
6647,57
6648,62
6649,93
6650,59
6651,86
6652,78
6653,78
6654,74
6655,31
6656,30
6657,1
6658,24
6659,21
6660,63
6661,61
6662,59
6663,57
6664,42
6665,42
6666,13
6667,9
6668,49
6669,45
6670,21
6671,17
6672,15
6673,65
6674,64
6675,24
6676,22
6677,68
6678,76
6679,54
6680,63
6681,60
6682,60
6683,14
6684,73
6685,38
6686,35
6687,10
6688,5
6689,55
6690,47
6691,7
6692,41
6693,37
6694,12
6695,9
6696,35
6697,15
6698,10
6699,7
6700,65
6701,64
6702,78
6703,31
6704,5
6705,27
6706,43
6707,19
6708,7
6709,35
6710,34
6711,14
6712,67
6713,19
6714,57
6715,54
6716,56
6717,63
6718,51
6719,60
6720,33
6721,12
6722,9
6723,7
6724,4
6725,43
6726,81
6727,50
6728,42
6729,0
6730,0
6731,32
6732,20
6733,62
6734,60
6735,65
6736,60
6737,86
6738,93
6739,47
6740,42
6741,45
6742,22
6743,16
6744,7
6745,69
6746,70
6747,72
6748,38
6749,40
6750,13
6751,11
6752,9
6753,23
6754,3
6755,1
6756,36
6757,35
6758,14
6759,68
6760,67
6761,35
6762,53
6763,53
6764,27
6765,19
6766,16
6767,6
6768,3
6769,1
6770,36
6771,11
6772,32
6773,5
6774,4
6775,30
6776,57
6777,64
6778,24
6779,23
6780,41
6781,22
6782,54
6783,36
6784,13
6785,11
6786,40
6787,14
6788,26
6789,26
6790,54
6791,16
6792,33
6793,14
6794,9
6795,8
6796,3
6797,24
6798,38
6799,37
6800,12
6801,12
6802,6
6803,20
6804,4
6805,2
6806,32
6807,27
6808,3
6809,1
6810,84
6811,84
6812,20
6813,67
6814,27
6815,9
6816,2
6817,31
6818,45
6819,42
6820,20
6821,17
6822,51
6823,54
6824,26
6825,5
6826,63
6827,48
6828,45
6829,22
6830,9
6831,71
6832,68
6833,64
6834,60
6835,64
6836,66
6837,60
6838,58
6839,36
6840,35
6841,13
6842,11
6843,8
6844,6
6845,2
6846,63
6847,65
6848,52
6849,54
6850,64
6851,35
6852,39
6853,16
6854,7
6855,56
6856,34
6857,65
6858,65
6859,64
6860,58
6861,48
6862,22
6863,47
6864,42
6865,16
6866,14
6867,72
6868,56
6869,68
6870,28
6871,93
6872,71
6873,71
6874,52
6875,52
6876,47
6877,43
6878,12
6879,9
6880,7
6881,5
6882,49
6883,52
6884,69
6885,62
6886,34
6887,10
6888,7
6889,5
6890,47
6891,50
6892,13
6893,10
6894,77
6895,53
6896,17
6897,65
6898,67
6899,47
6900,47
6901,12
6902,42
6903,38
6904,2
6905,0
6906,38
6907,67
6908,22
6909,25
6910,22
6911,29
6912,3
6913,31
6914,31
6915,11
6916,6
6917,23
6918,61
6919,57
6920,53
6921,62
6922,16
6923,66
6924,36
6925,35
6926,8
6927,5
6928,23
6929,24
6930,2
6931,75
6932,37
6933,32
6934,7
6935,5
6936,0
6937,51
6938,53
6939,77
6940,57
6941,59
6942,48
6943,50
6944,19
6945,54
6946,72
6947,32
6948,39
6949,4
6950,80
6951,55
6952,42
6953,41
6954,11
6955,7
6956,59
6957,61
6958,27
6959,45
6960,16
6961,18
6962,66
6963,53
6964,67
6965,65
6966,33
6967,34
6968,16
6969,15
6970,6
6971,68
6972,63
6973,63
6974,55
6975,56
6976,50
6977,52
6978,61
6979,61
6980,56
6981,52
6982,68
6983,22
6984,20
6985,57
6986,46
6987,43
6988,15
6989,12
6990,27
6991,19
6992,0
6993,49
6994,62
6995,40
6996,13
6997,31
6998,30
6999,4
7000,1
7001,71
7002,43
7003,57
7004,6
7005,60
7006,69
7007,93
7008,24
7009,2
7010,45
7011,62
7012,50
7013,62
7014,40
7015,39
7016,15
7017,9
7018,74
7019,55
7020,71
7021,72
7022,50
7023,47
7024,41
7025,25
7026,17
7027,15
7028,29
7029,52
7030,51
7031,20
7032,57
7033,66
7034,73
7035,67
7036,38
7037,25
7038,0
7039,44
7040,45
7041,16
7042,15
7043,14
7044,71
7045,45
7046,39
7047,18
7048,18
7049,14
7050,13
7051,19
7052,69
7053,65
7054,39
7055,58
7056,19
7057,18
7058,6
7059,3
7060,45
7061,15
7062,33
7063,74
7064,72
7065,45
7066,12
7067,10
7068,34
7069,35
7070,5
7071,3
7072,22
7073,23
7074,4
7075,1
7076,28
7077,85
7078,79
7079,88
7080,64
7081,67
7082,37
7083,35
7084,34
7085,12
7086,10
7087,40
7088,44
7089,13
7090,10
7091,93
7092,28
7093,27
7094,58
7095,85
7096,63
7097,37
7098,39
7099,8
7100,6
7101,18
7102,68
7103,71
7104,40
7105,60
7106,38
7107,47
7108,45
7109,21
7110,18
7111,15
7112,43
7113,50
7114,16
7115,78
7116,76
7117,64
7118,38
7119,13
7120,9
7121,36
7122,6
7123,51
7124,63
7125,69
7126,31
7127,7
7128,69
7129,67
7130,65
7131,45
7132,31
7133,31
7134,11
7135,6
7136,3
7137,69
7138,72
7139,22
7140,29
7141,51
7142,51
7143,20
7144,65
7145,58
7146,19
7147,17
7148,26
7149,28
7150,28
7151,78
7152,69
7153,55
7154,89
7155,36
7156,34
7157,12
7158,10
7159,34
7160,42
7161,13
7162,12
7163,8
7164,6
7165,65
7166,50
7167,54
7168,46
7169,14
7170,65
7171,67
7172,21
7173,20
7174,52
7175,67
7176,78
7177,73
7178,53
7179,18
7180,16
7181,68
7182,58
7183,61
7184,61
7185,62
7186,93
7187,93
7188,59
7189,28
7190,25
7191,4
7192,2
7193,0
7194,6
7195,30
7196,30
7197,3
7198,35
7199,35
7200,13
7201,11
7202,87
7203,87
7204,41
7205,67
7206,93
7207,45
7208,49
7209,16
7210,13
7211,48
7212,17
7213,46
7214,15
7215,13
7216,10
7217,30
7218,25
7219,5
7220,3
7221,60
7222,65
7223,38
7224,42
7225,15
7226,13
7227,10
7228,7
7229,1
7230,72
7231,45
7232,36
7233,8
7234,51
7235,72
7236,63
7237,32
7238,16
7239,39
7240,44
7241,26
7242,27
7243,0
7244,62
7245,57
7246,37
7247,33
7248,14
7249,7
7250,4
7251,58
7252,61
7253,21
7254,19
7255,61
7256,63
7257,21
7258,45
7259,47
7260,18
7261,13
7262,93
7263,75
7264,29
7265,26
7266,31
7267,13
7268,8
7269,33
7270,83
7271,54
7272,77
7273,73
7274,73
7275,55
7276,60
7277,68
7278,65
7279,79
7280,83
7281,51
7282,44
7283,65
7284,66
7285,25
7286,25
7287,4
7288,1
7289,33
7290,30
7291,11
7292,4
7293,60
7294,58
7295,20
7296,55
7297,37
7298,43
7299,14
7300,12
7301,8
7302,6
7303,2
7304,87
7305,61
7306,60
7307,77
7308,40
7309,39
7310,52
7311,35
7312,87
7313,62
7314,61
7315,65
7316,65
7317,54
7318,72
7319,39
7320,34
7321,13
7322,11
7323,39
7324,11
7325,84
7326,88
7327,29
7328,21
7329,29
7330,26
7331,3
7332,87
7333,86
7334,66
7335,41
7336,55
7337,62
7338,67
7339,70
7340,29
7341,24
7342,6
7343,77
7344,16
7345,24
7346,30
7347,6
7348,1
7349,32
7350,24
7351,31
7352,28
7353,63
7354,66
7355,31
7356,55
7357,57
7358,62
7359,58
7360,43
7361,8
7362,59
7363,69
7364,15
7365,41
7366,41
7367,17
7368,15
7369,27
7370,34
7371,35
7372,11
7373,9
7374,73
7375,50
7376,49
7377,66
7378,65
7379,48
7380,65
7381,60
7382,58
7383,63
7384,73
7385,28
7386,30
7387,6
7388,5
7389,0
7390,80
7391,73
7392,67
7393,23
7394,28
7395,72
7396,68
7397,55
7398,51
7399,74
7400,72
7401,82
7402,79
7403,25
7404,21
7405,84
7406,81
7407,82
7408,46
7409,55
7410,20
7411,17
7412,16
7413,59
7414,54
7415,86
7416,54
7417,48
7418,49
7419,50
7420,10
7421,61
7422,60
7423,61
7424,34
7425,29
7426,4
7427,1
7428,43
7429,19
7430,42
7431,80
7432,69
7433,36
7434,41
7435,5
7436,16
7437,45
7438,47
7439,33
7440,32
7441,24
7442,51
7443,53
7444,15
7445,4
7446,34
7447,23
7448,3
7449,25
7450,26
7451,40
7452,19
7453,10
7454,2
7455,35
7456,34
7457,16
7458,14
7459,12
7460,10
7461,6
7462,3
7463,84
7464,82
7465,59
7466,59
7467,32
7468,39
7469,13
7470,7
7471,66
7472,64
7473,47
7474,47
7475,18
7476,35
7477,16
7478,13
7479,10
7480,45
7481,22
7482,47
7483,38
7484,14
7485,13
7486,12
7487,46
7488,42
7489,21
7490,19
7491,14
7492,10
7493,20
7494,35
7495,27
7496,1
7497,36
7498,30
7499,6
7500,3
7501,2
7502,51
7503,28
7504,24
7505,2
7506,0
7507,30
7508,29
7509,27
7510,49
7511,22
7512,49
7513,27
7514,31
7515,32
7516,60
7517,48
7518,15
7519,13
7520,60
7521,28
7522,33
7523,23
7524,22
7525,0
7526,93
7527,63
7528,44
7529,57
7530,64
7531,52
7532,41
7533,40
7534,17
7535,15
7536,13
7537,61
7538,66
7539,82
7540,77
7541,59
7542,50
7543,53
7544,59
7545,47
7546,19
7547,16
7548,36
7549,36
7550,11
7551,9
7552,4
7553,41
7554,45
7555,23
7556,36
7557,80
7558,58
7559,69
7560,32
7561,32
7562,10
7563,7
7564,4
7565,1
7566,68
7567,66
7568,80
7569,76
7570,78
7571,51
7572,56
7573,43
7574,88
7575,60
7576,46
7577,43
7578,17
7579,15
7580,93
7581,61
7582,69
7583,68
7584,58
7585,52
7586,25
7587,18
7588,93
7589,52
7590,55
7591,53
7592,57
7593,54
7594,20
7595,54
7596,52
7597,26
7598,2
7599,65
7600,69
7601,53
7602,57
7603,70
7604,78
7605,38
7606,39
7607,9
7608,60
7609,53
7610,93
7611,64
7612,60
7613,51
7614,50
7615,23
7616,17
7617,44
7618,40
7619,81
7620,41
7621,48
7622,16
7623,13
7624,12
7625,42
7626,38
7627,3
7628,31
7629,10
7630,7
7631,18
7632,88
7633,57
7634,56
7635,50
7636,50
7637,74
7638,31
7639,31
7640,6
7641,2
7642,81
7643,58
7644,55
7645,21
7646,21
7647,5
7648,2
7649,1
7650,0
7651,24
7652,25
7653,54
7654,56
7655,53
7656,27
7657,64
7658,60
7659,66
7660,66
7661,33
7662,29
7663,3
7664,65
7665,63
7666,48
7667,48
7668,49
7669,56
7670,41
7671,27
7672,24
7673,3
7674,1
7675,88
7676,52
7677,70
7678,67
7679,75
7680,75
7681,18
7682,71
7683,68
7684,31
7685,27
7686,8
7687,29
7688,31
7689,11
7690,5
7691,4
7692,0
7693,78
7694,50
7695,44
7696,49
7697,59
7698,59
7699,64
7700,46
7701,46
7702,59
7703,58
7704,39
7705,41
7706,81
7707,83
7708,83
7709,25
7710,27
7711,4
7712,2
7713,84
7714,43
7715,72
7716,93
7717,52
7718,53
7719,28
7720,26
7721,30
7722,27
7723,4
7724,7
7725,19
7726,22
7727,43
7728,46
7729,16
7730,11
7731,8
7732,18
7733,74
7734,79
7735,76
7736,61
7737,60
7738,40
7739,67
7740,67
7741,52
7742,65
7743,26
7744,30
7745,6
7746,2
7747,84
7748,81
7749,74
7750,70
7751,71
7752,67
7753,78
7754,77
7755,75
7756,71
7757,59
7758,25
7759,29
7760,31
7761,32
7762,62
7763,60
7764,67
7765,65
7766,93
7767,40
7768,40
7769,13
7770,9
7771,8
7772,43
7773,38
7774,14
7775,13
7776,10
7777,18
7778,55
7779,50
7780,64
7781,67
7782,43
7783,48
7784,9
7785,28
7786,25
7787,5
7788,4
7789,53
7790,53
7791,84
7792,61
7793,62
7794,23
7795,23
7796,20
7797,41
7798,12
7799,18
7800,43
7801,23
7802,25
7803,21
7804,70
7805,69
7806,35
7807,45
7808,17
7809,15
7810,13
7811,7
7812,31
7813,28
7814,7
7815,5
7816,5
7817,51
7818,22
7819,23
7820,1
7821,33
7822,34
7823,7
7824,4
7825,2
7826,17
7827,61
7828,61
7829,49
7830,11
7831,62
7832,83
7833,64
7834,64
7835,39
7836,31
7837,33
7838,7
7839,4
7840,0
7841,53
7842,50
7843,29
7844,29
7845,3
7846,50
7847,49
7848,31
7849,50
7850,76
7851,49
7852,9
7853,41
7854,54
7855,49
7856,22
7857,17
7858,14
7859,36
7860,11
7861,6
7862,41
7863,47
7864,35
7865,33
7866,11
7867,8
7868,2
7869,0
7870,38
7871,62
7872,57
7873,65
7874,54
7875,47
7876,49
7877,17
7878,26
7879,34
7880,31
7881,6
7882,4
7883,0
7884,10
7885,48
7886,65
7887,84
7888,75
7889,55
7890,70
7891,44
7892,78
7893,31
7894,28
7895,6
7896,3
7897,28
7898,28
7899,58
7900,43
7901,7
7902,81
7903,69
7904,67
7905,63
7906,62
7907,52
7908,67
7909,59
7910,58
7911,26
7912,27
7913,62
7914,50
7915,20
7916,18
7917,56
7918,53
7919,58
7920,80
7921,74
7922,58
7923,57
7924,34
7925,30
7926,29
7927,26
7928,24
7929,73
7930,36
7931,15
7932,9
7933,7
7934,68
7935,27
7936,30
7937,53
7938,55
7939,41
7940,44
7941,7
7942,5
7943,4
7944,60
7945,56
7946,21
7947,14
7948,52
7949,24
7950,35
7951,35
7952,10
7953,8
7954,5
7955,20
7956,33
7957,33
7958,10
7959,8
7960,6
7961,4
7962,2
7963,35
7964,24
7965,3
7966,2
7967,21
7968,35
7969,65
7970,63
7971,28
7972,51
7973,39
7974,55
7975,58
7976,59
7977,61
7978,17
7979,32
7980,34
7981,10
7982,8
7983,6
7984,4
7985,4
7986,35
7987,37
7988,7
7989,5
7990,5
7991,25
7992,28
7993,84
7994,58
7995,58
7996,26
7997,27
7998,0
7999,62
8000,60
8001,66
8002,64
8003,58
8004,55
8005,41
8006,17
8007,13
8008,68
8009,65
8010,57
8011,58
8012,56
8013,60
8014,14
8015,64
8016,56
8017,26
8018,49
8019,42
8020,6
8021,1
8022,44
8023,19
8024,19
8025,60
8026,58
8027,54
8028,57
8029,73
8030,77
8031,73
8032,43
8033,16
8034,13
8035,47
8036,12
8037,44
8038,50
8039,16
8040,33
8041,33
8042,6
8043,6
8044,68
8045,63
8046,67
8047,34
8048,14
8049,80
8050,77
8051,64
8052,62
8053,42
8054,43
8055,16
8056,15
8057,11
8058,68
8059,51
8060,50
8061,49
8062,12
8063,40
8064,39
8065,35
8066,13
8067,9
8068,7
8069,73
8070,65
8071,39
8072,27
8073,39
8074,50
8075,52
8076,13
8077,12
8078,24
8079,79
8080,75
8081,34
8082,32
8083,7
8084,3
8085,7
8086,75
8087,66
8088,73
8089,37
8090,18
8091,11
8092,38
8093,17
8094,63
8095,65
8096,36
8097,47
8098,56
8099,25
8100,57
8101,54
8102,64
8103,59
8104,65
8105,66
8106,29
8107,30
8108,0
8109,40
8110,43
8111,19
8112,17
8113,12
8114,10
8115,62
8116,51
8117,12
8118,62
8119,56
8120,61
8121,30
8122,24
8123,1
8124,36
8125,37
8126,24
8127,52
8128,44
8129,10
8130,5
8131,80
8132,62
8133,64
8134,74
8135,48
8136,23
8137,77
8138,46
8139,17
8140,21
8141,2
8142,0
8143,36
8144,9
8145,6
8146,0
8147,37
8148,46
8149,47
8150,61
8151,61
8152,74
8153,35
8154,40
8155,18
8156,45
8157,60
8158,59
8159,58
8160,59
8161,21
8162,53
8163,11
8164,30
8165,31
8166,4
8167,0
8168,58
8169,62
8170,39
8171,31
8172,9
8173,32
8174,75
8175,68
8176,69
8177,71
8178,61
8179,40
8180,35
8181,4
8182,2
8183,58
8184,80
8185,78
8186,38
8187,59
8188,68
8189,24
8190,20
8191,0
8192,81
8193,41
8194,25
8195,25
8196,58
8197,35
8198,49
8199,13
8200,7
8201,34
8202,29
8203,21
8204,29
8205,8
8206,6
8207,2
8208,29
8209,24
8210,1
8211,0
8212,53
8213,43
8214,11
8215,9
8216,60
8217,58
8218,22
8219,61
8220,62
8221,23
8222,74
8223,50
8224,52
8225,64
8226,65
8227,45
8228,50
8229,14
8230,38
8231,13
8232,25
8233,4
8234,25
8235,24
8236,3
8237,1
8238,60
8239,22
8240,17
8241,37
8242,47
8243,62
8244,59
8245,81
8246,77
8247,58
8248,69
8249,52
8250,38
8251,35
8252,17
8253,17
8254,16
8255,12
8256,7
8257,4
8258,76
8259,76
8260,56
8261,54
8262,36
8263,34
8264,11
8265,10
8266,4
8267,0
8268,54
8269,55
8270,57
8271,54
8272,82
8273,81
8274,50
8275,82
8276,46
8277,42
8278,19
8279,17
8280,14
8281,9
8282,7
8283,38
8284,62
8285,68
8286,40
8287,37
8288,13
8289,11
8290,17
8291,27
8292,61
8293,75
8294,71
8295,64
8296,59
8297,73
8298,74
8299,43
8300,18
8301,15
8302,13
8303,11
8304,46
8305,58
8306,65
8307,64
8308,52
8309,19
8310,52
8311,57
8312,65
8313,65
8314,55
8315,54
8316,22
8317,22
8318,4
8319,3
8320,1
8321,93
8322,55
8323,72
8324,69
8325,73
8326,64
8327,75
8328,44
8329,45
8330,49
8331,26
8332,25
8333,78
8334,80
8335,38
8336,41
8337,17
8338,13
8339,40
8340,41
8341,13
8342,10
8343,33
8344,13
8345,29
8346,57
8347,64
8348,43
8349,35
8350,42
8351,4
8352,2
8353,20
8354,23
8355,3
8356,0
8357,51
8358,28
8359,28
8360,4
8361,2
8362,50
8363,20
8364,21
8365,33
8366,71
8367,61
8368,21
8369,21
8370,25
8371,25
8372,35
8373,10
8374,47
8375,47
8376,17
8377,15
8378,46
8379,47
8380,20
8381,13
8382,74
8383,73
8384,28
8385,28
8386,48
8387,47
8388,48
8389,39
8390,36
8391,15
8392,13
8393,10
8394,4
8395,64
8396,62
8397,57
8398,63
8399,63
8400,38
8401,68
8402,33
8403,1
8404,26
8405,5
8406,82
8407,77
8408,89
8409,70
8410,68
8411,87
8412,77
8413,19
8414,18
8415,40
8416,14
8417,13
8418,10
8419,6
8420,2
8421,42
8422,46
8423,70
8424,82
8425,42
8426,17
8427,11
8428,59
8429,59
8430,89
8431,68
8432,65
8433,65
8434,61
8435,34
8436,36
8437,13
8438,4
8439,0
8440,18
8441,22
8442,19
8443,47
8444,24
8445,5
8446,0
8447,64
8448,62
8449,31
8450,32
8451,11
8452,5
8453,60
8454,60
8455,72
8456,24
8457,72
8458,38
8459,39
8460,13
8461,12
8462,11
8463,8
8464,6
8465,69
8466,35
8467,63
8468,54
8469,51
8470,59
8471,43
8472,18
8473,53
8474,25
8475,23
8476,28
8477,20
8478,50
8479,54
8480,24
8481,35
8482,39
8483,13
8484,10
8485,30
8486,28
8487,2
8488,59
8489,59
8490,24
8491,26
8492,24
8493,22
8494,76
8495,35
8496,36
8497,14
8498,9
8499,5
8500,18
8501,20
8502,30
8503,34
8504,65
8505,41
8506,27
8507,17
8508,39
8509,46
8510,17
8511,15
8512,14
8513,13
8514,11
8515,8
8516,7
8517,3
8518,2
8519,50
8520,40
8521,15
8522,80
8523,57
8524,56
8525,22
8526,22
8527,3
8528,2
8529,57
8530,26
8531,6
8532,4
8533,40
8534,44
8535,13
8536,10
8537,4
8538,41
8539,42
8540,14
8541,16
8542,53
8543,58
8544,58
8545,38
8546,38
8547,36
8548,35
8549,12
8550,62
8551,61
8552,24
8553,24
8554,62
8555,50
8556,89
8557,64
8558,61
8559,60
8560,59
8561,26
8562,24
8563,13
8564,30
8565,29
8566,6
8567,4
8568,11
8569,21
8570,26
8571,32
8572,36
8573,68
8574,41
8575,22
8576,0
8577,83
8578,60
8579,59
8580,45
8581,49
8582,18
8583,62
8584,28
8585,5
8586,65
8587,59
8588,17
8589,40
8590,10
8591,8
8592,72
8593,36
8594,39
8595,11
8596,5
8597,71
8598,78
8599,45
8600,48
8601,31
8602,41
8603,43
8604,10
8605,34
8606,35
8607,9
8608,7
8609,6
8610,3
8611,1
8612,59
8613,42
8614,69
8615,66
8616,28
8617,22
8618,1
8619,0
8620,46
8621,42
8622,12
8623,19
8624,72
8625,68
8626,44
8627,43
8628,23
8629,20
8630,13
8631,58
8632,57
8633,24
8634,24
8635,23
8636,63
8637,66
8638,67
8639,66
8640,37
8641,17
8642,13
8643,40
8644,77
8645,72
8646,73
8647,69
8648,39
8649,32
8650,5
8651,70
8652,68
8653,23
8654,26
8655,38
8656,38
8657,14
8658,12
8659,9
8660,5
8661,7
8662,36
8663,66
8664,76
8665,31
8666,21
8667,25
8668,28
8669,27
8670,37
8671,66
8672,58
8673,56
8674,29
8675,29
8676,4
8677,2
8678,64
8679,28
8680,7
8681,5
8682,4
8683,65
8684,53
8685,53
8686,35
8687,78
8688,64
8689,85
8690,45
8691,21
8692,70
8693,53
8694,55
8695,50
8696,37
8697,20
8698,14
8699,7
8700,20
8701,28
8702,71
8703,62
8704,73
8705,60
8706,87
8707,93
8708,86
8709,81
8710,79
8711,66
8712,68
8713,68
8714,67
8715,58
8716,48
8717,79
8718,72
8719,53
8720,55
8721,75
8722,80
8723,68
8724,31
8725,26
8726,84
8727,48
8728,44
8729,17
8730,11
8731,10
8732,8
8733,8
8734,37
8735,36
8736,6
8737,69
8738,59
8739,55
8740,40
8741,36
8742,35
8743,13
8744,11
8745,7
8746,6
8747,44
8748,49
8749,64
8750,60
8751,62
8752,44
8753,16
8754,14
8755,11
8756,9
8757,43
8758,32
8759,13
8760,11
8761,4
8762,11
8763,10
8764,7
8765,68
8766,67
8767,24
8768,74
8769,71
8770,37
8771,39
8772,15
8773,9
8774,50
8775,49
8776,87
8777,11
8778,77
8779,41
8780,50
8781,18
8782,1
8783,18
8784,56
8785,56
8786,65
8787,57
8788,55
8789,52
8790,15
8791,67
8792,72
8793,60
8794,84
8795,40
8796,12
8797,8
8798,39
8799,58
8800,59
8801,33
8802,33
8803,6
8804,61
8805,53
8806,20
8807,20
8808,57
8809,25
8810,58
8811,58
8812,45
8813,49
8814,65
8815,65
8816,28
8817,26
8818,5
8819,4
8820,3
8821,55
8822,50
8823,41
8824,52
8825,24
8826,27
8827,5
8828,1
8829,20
8830,18
8831,32
8832,27
8833,12
8834,10
8835,7
8836,4
8837,93
8838,59
8839,24
8840,93
8841,35
8842,29
8843,12
8844,10
8845,1
8846,47
8847,50
8848,7
8849,29
8850,36
8851,30
8852,28
8853,4
8854,2
8855,15
8856,61
8857,40
8858,40
8859,8
8860,2
8861,58
8862,46
8863,39
8864,10
8865,27
8866,46
8867,66
8868,63
8869,38
8870,44
8871,3
8872,39
8873,37
8874,7
8875,4
8876,2
8877,0
8878,35
8879,33
8880,0
8881,67
8882,68
8883,24
8884,27
8885,93
8886,93
8887,41
8888,41
8889,15
8890,13
8891,93
8892,52
8893,70
8894,28
8895,6
8896,0
8897,46
8898,53
8899,51
8900,41
8901,84
8902,55
8903,62
8904,23
8905,21
8906,45
8907,39
8908,15
8909,14
8910,76
8911,71
8912,80
8913,51
8914,52
8915,56
8916,44
8917,41
8918,55
8919,54
8920,70
8921,68
8922,43
8923,43
8924,13
8925,10
8926,88
8927,40
8928,27
8929,5
8930,2
8931,0
8932,18
8933,56
8934,78
8935,76
8936,34
8937,32
8938,11
8939,9
8940,7
8941,5
8942,3
8943,0
8944,26
8945,25
8946,0
8947,47
8948,46
8949,16
8950,14
8951,57
8952,56
8953,54
8954,49
8955,19
8956,37
8957,43
8958,4
8959,4
8960,27
8961,7
8962,5
8963,34
8964,50
8965,49
8966,17
8967,54
8968,79
8969,35
8970,18
8971,14
8972,9
8973,6
8974,48
8975,8
8976,33
8977,54
8978,54
8979,26
8980,54
8981,56
8982,38
8983,35
8984,16
8985,15
8986,33
8987,32
8988,5
8989,3
8990,2
8991,62
8992,61
8993,72
8994,27
8995,30
8996,58
8997,53
8998,65
8999,48
9000,40
9001,14
9002,12
9003,12
9004,18
9005,51
9006,67
9007,28
9008,25
9009,2
9010,0
9011,73
9012,72
9013,81
9014,88
9015,21
9016,26
9017,36
9018,42
9019,28
9020,37
9021,8
9022,5
9023,74
9024,67
9025,44
9026,64
9027,22
9028,19
9029,17
9030,93
9031,61
9032,64
9033,52
9034,56
9035,11
9036,64
9037,55
9038,22
9039,20
9040,78
9041,58
9042,80
9043,64
9044,62
9045,20
9046,22
9047,17
9048,60
9049,61
9050,37
9051,36
9052,15
9053,12
9054,9
9055,21
9056,69
9057,70
9058,37
9059,37
9060,8
9061,6
9062,26
9063,17
9064,33
9065,21
9066,71
9067,50
9068,53
9069,23
9070,21
9071,17
9072,72
9073,71
9074,58
9075,62
9076,40
9077,51
9078,15
9079,22
9080,21
9081,21
9082,62
9083,60
9084,58
9085,78
9086,67
9087,43
9088,71
9089,26
9090,25
9091,65
9092,47
9093,48
9094,15
9095,26
9096,28
9097,78
9098,54
9099,62
9100,42
9101,40
9102,85
9103,72
9104,52
9105,73
9106,55
9107,69
9108,58
9109,74
9110,55
9111,55
9112,24
9113,48
9114,35
9115,28
9116,72
9117,62
9118,64
9119,48
9120,78
9121,64
9122,51
9123,17
9124,13
9125,50
9126,48
9127,48
9128,21
9129,62
9130,56
9131,15
9132,66
9133,31
9134,10
9135,7
9136,68
9137,66
9138,85
9139,16
9140,33
9141,85
9142,81
9143,21
9144,17
9145,63
9146,55
9147,30
9148,33
9149,10
9150,6
9151,4
9152,44
9153,44
9154,15
9155,12
9156,40
9157,31
9158,29
9159,32
9160,67
9161,43
9162,49
9163,67
9164,68
9165,65
9166,72
9167,70
9168,47
9169,48
9170,20
9171,22
9172,23
9173,65
9174,51
9175,50
9176,12
9177,44
9178,40
9179,60
9180,57
9181,18
9182,63
9183,66
9184,40
9185,37
9186,2
9187,61
9188,65
9189,68
9190,67
9191,67
9192,45
9193,43
9194,7
9195,50
9196,52
9197,30
9198,33
9199,11
9200,45
9201,17
9202,15
9203,21
9204,21
9205,77
9206,37
9207,17
9208,14
9209,9
9210,7
9211,68
9212,67
9213,69
9214,60
9215,63
9216,68
9217,84
9218,27
9219,23
9220,33
9221,31
9222,14
9223,9
9224,13
9225,52
9226,59
9227,10
9228,15
9229,32
9230,30
9231,6
9232,4
9233,46
9234,42
9235,10
9236,10
9237,22
9238,30
9239,26
9240,4
9241,1
9242,77
9243,37
9244,36
9245,16
9246,14
9247,11
9248,9
9249,56
9250,55
9251,18
9252,58
9253,66
9254,79
9255,65
9256,66
9257,61
9258,26
9259,22
9260,57
9261,52
9262,20
9263,74
9264,58
9265,48
9266,40
9267,5
9268,19
9269,70
9270,64
9271,73
9272,72
9273,34
9274,36
9275,14
9276,12
9277,10
9278,61
9279,61
9280,36
9281,14
9282,12
9283,37
9284,35
9285,52
9286,68
9287,31
9288,35
9289,50
9290,67
9291,76
9292,73
9293,31
9294,24
9295,32
9296,93
9297,46
9298,18
9299,17
9300,8
9301,40
9302,18
9303,52
9304,53
9305,57
9306,54
9307,19
9308,1
9309,85
9310,38
9311,46
9312,82
9313,19
9314,21
9315,47
9316,46
9317,18
9318,85
9319,24
9320,28
9321,7
9322,5
9323,1
9324,26
9325,38
9326,5
9327,2
9328,11
9329,83
9330,65
9331,74
9332,67
9333,44
9334,27
9335,49
9336,15
9337,10
9338,48
9339,53
9340,83
9341,80
9342,79
9343,77
9344,56
9345,29
9346,31
9347,3
9348,1
9349,66
9350,75
9351,77
9352,57
9353,38
9354,36
9355,2
9356,23
9357,23
9358,46
9359,46
9360,71
9361,63
9362,52
9363,57
9364,60
9365,47
9366,21
9367,86
9368,55
9369,54
9370,42
9371,40
9372,10
9373,31
9374,33
9375,5
9376,4
9377,50
9378,47
9379,93
9380,77
9381,76
9382,21
9383,50
9384,48
9385,22
9386,2
9387,22
9388,54
9389,54
9390,69
9391,62
9392,33
9393,36
9394,5
9395,3
9396,70
9397,65
9398,51
9399,46
9400,16
9401,54
9402,83
9403,35
9404,33
9405,12
9406,10
9407,6
9408,36
9409,43
9410,54
9411,74
9412,62
9413,36
9414,33
9415,12
9416,8
9417,5
9418,62
9419,64
9420,43
9421,41
9422,22
9423,79
9424,38
9425,38
9426,9
9427,65
9428,61
9429,36
9430,89
9431,47
9432,74
9433,44
9434,46
9435,19
9436,18
9437,14
9438,10
9439,45
9440,40
9441,13
9442,11
9443,53
9444,62
